Артикул;Категории;Имя;Описание;Высота (cm);Ширина (cm);Длина (cm);Вес (kg);Изображения;Количество;Цена;Тип валюты;Видимость в каталоге;Имя атрибута 1;Значение(-я) аттрибута(-ов) 1;Глобальный атрибут 1;Видимость атрибута 1;Имя атрибута 2;Значение(-я) аттрибута(-ов) 2;Глобальный атрибут 2;Видимость атрибута 2;Имя атрибута 3;Значение(-я) аттрибута(-ов) 3;Глобальный атрибут 3;Видимость атрибута 3;Имя атрибута 4;Значение(-я) аттрибута(-ов) 4;Глобальный атрибут 4;Видимость атрибута 4;Имя атрибута 5;Значение(-я) аттрибута(-ов) 5;Глобальный атрибут 5;Видимость атрибута 5;Имя атрибута 6;Значение(-я) аттрибута(-ов) 6;Глобальный атрибут 6;Видимость атрибута 6;Имя атрибута 7;Значение(-я) аттрибута(-ов) 7;Глобальный атрибут 7;Видимость атрибута 7;Имя атрибута 8;Значение(-я) аттрибута(-ов) 8;Глобальный атрибут 8;Видимость атрибута 8;Имя атрибута 9;Значение(-я) аттрибута(-ов) 9;Глобальный атрибут 9;Видимость атрибута 9;Имя атрибута 10;Значение(-я) аттрибута(-ов) 10;Глобальный атрибут 10;Видимость атрибута 10;Имя атрибута 11;Значение(-я) аттрибута(-ов) 11;Глобальный атрибут 11;Видимость атрибута 11;Имя атрибута 12;Значение(-я) аттрибута(-ов) 12;Глобальный атрибут 12;Видимость атрибута 12;Имя атрибута 13;Значение(-я) аттрибута(-ов) 13;Глобальный атрибут 13;Видимость атрибута 13;Имя атрибута 14;Значение(-я) аттрибута(-ов) 14;Глобальный атрибут 14;Видимость атрибута 14;Имя атрибута 15;Значение(-я) аттрибута(-ов) 15;Глобальный атрибут 15;Видимость атрибута 15;Имя атрибута 16;Значение(-я) аттрибута(-ов) 16;Глобальный атрибут 16;Видимость атрибута 16;Имя атрибута 17;Значение(-я) аттрибута(-ов) 17;Глобальный атрибут 17;Видимость атрибута 17;Имя атрибута 18;Значение(-я) аттрибута(-ов) 18;Глобальный атрибут 18;Видимость атрибута 18;Имя атрибута 19;Значение(-я) аттрибута(-ов) 19;Глобальный атрибут 19;Видимость атрибута 19;Имя атрибута 20;Значение(-я) аттрибута(-ов) 20;Глобальный атрибут 20;Видимость атрибута 20;Имя атрибута 21;Значение(-я) аттрибута(-ов) 21;Глобальный атрибут 21;Видимость атрибута 21;Имя атрибута 22;Значение(-я) аттрибута(-ов) 22;Глобальный атрибут 22;Видимость атрибута 22
LIBERTY-F-LC-01-W0;Смесители;Смеситель Liberty;Смеситель для раковины-чаши, без донного клапана.;;;;;http://iberis-pro.ru/img/liberty-lc-01_int.jpg;1;11820;RUB;visible;Производитель;Cezares (Италия);1;1;Цвет;Хром;1;1;Стиль;Классический;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;1;Управление;;1;1;Количество источников;;1;1;Комплектующие;;1;1;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
LM7165C;Гигиенические души;Гигиенический душ Solo;Состав: смеситель со встраиваемой частью, ручной душ с держателем и шлангом.;;;;;https://www.lemark.su/upload/resize_cache/iblock/7c4/800_800_0/7c405b05995e59f770835df4ff249e3e.jpg;1;5300;RUB;visible;Производитель;Lemark (Чехия) ;1;1;Цвет;Хром;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;1;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
9400012;Инженерная сантехника;Комплект для установки подвесного унитаза;"Комплект для установки подвесного унитаза: инсталляция.
Состав: комплект для крепления модуля, панель смыва TECEnow с двумя клавишами (пластиковая, хром глянцевый), прокладка звукоизоляционная.";112;;;;https://tece-rus.ru/netcat_files/multifile/3041/23/1000x1000_r_wm/Komplekt_4v1_9400012.jpg;1;215;EUR;visible;Производитель;TECE (Германия) ;1;1;Цвет;;1;0;Стиль;Современный;1;1;Тип монтажа;;1;0;Отверстия под смеситель;;1;0;Размеры I;;1;1;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;1;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;1;Размеры II;;1;0;Тип;;1;1;Стекло;;1;0;Вид аксессуара;;1;0
GIL007 01 00bi*1;Керамика>Раковины;Раковина GIO Evolution;Раковина керамическая встраиваемая сверху, с площадкой под смеситель (белый);;40;60;;https://www.santehmag.ru/wa-data/public/shop/products/43/83/48343/images/158468/158468.1500.JPG;1;22000;RUB;visible;Производитель;ArtCeram (Италия);1;1;Цвет;Белый;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;тест;1;1;Размеры I;;1;1;Тип раковины;;1;1;Другие параметры;;1;0;Форма;ТЕСТ;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;1;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
B3231;Аксессуары;Полотенцедержатель Portofino;Полотенцедержатель-кольцо (хром);21;21,5;7;;https://www.santehmag.ru/wa-data/public/shop/products/34/63/6334/images/155658/155658.1500.jpg;1;88;EUR;visible;Производитель;Colombo (Италия);1;1;Цвет;Хром;1;1;Стиль;Классический;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;1
B3206;Аксессуары;Напольный ёрш Portofino;Напольный ерш(хром/матовое стекло);43,5;10;10;;https://santehmoll.ru/wa-data/public/shop/products/46/49/654946/images/339957/339957.750x0.jpg;1;128;EUR;visible;Производитель;Colombo (Италия);1;1;Цвет;Хром;1;1;Стиль;Классический;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;1
971550;Аксессуары;Стакан настольный Stone;BER стакан настольный из искусственного камня (белый матовый);10;8;8;;https://www.decor-walther.com/img/products/0971550/0971550_Stone_BER_weiss_2.png;1;41;EUR;visible;Производитель;Decor Walther (Германия);1;1;Цвет;Белый;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;1
2096.6;Керамика>Унитазы;Унитаз подвесной Pro;Rimless унитаз подвесной безободковый (белый);34;36;53;;https://www.laufen.ru/LaufenResourceServlet/resources/getTransformation?idObject=%7BFD337646-D593-46F7-B27E-7AA364A72BA3%7D&trName=TF_ppt_A4;1;21150;RUB;visible;Производитель;Laufen (Швейцария);1;1;Цвет;Белый;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;1;Фурнитура;;1;1;Тип сиденья;;1;1;Цвет сиденья;;1;1;Направление выпуска;;1;1;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
9896.6;Крышки-сиденья для унитазов;Крышка сиденье Pro;Slim крышка-сиденье Soft Close (белый/хром);;;;;https://www.laufen.ru/LaufenResourceServlet/resources/getTransformation?idObject=%7BC599B0AB-E42D-41FD-8F62-8D7ADE005EEA%7D&trName=TF_ppt_A4;1;7450;RUB;visible;Производитель;Laufen (Швейцария);1;1;Цвет;Белый/Хром;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;1;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
11158 010000;Аксессуары;Корзинка для душа Edition 11;Корзинка для душа, съемная (хром);6,7;30;9,5;;https://www.keuco.com/pim_media//bilder_web/KEB_W_11158010000.jpg;1;139,7;EUR;visible;Производитель;Keuco (Германия);1;1;Цвет;Хром;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;1
